,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
108,AEP,"American Electric Power Company, Inc. - Common Stock",Q,N,N,100.0,N,N
109,AERT,"Aeries Technology, Inc. - Class A Ordinary Share",S,N,N,100.0,N,N
110,AERTW,"Aeries Technology, Inc. - Warrant",S,N,N,100.0,N,N
111,AEYE,"AudioEye, Inc. - Common Stock",S,N,N,100.0,N,N
112,AEZS,Aeterna Zentaris Inc. - Common Stock,S,N,N,100.0,N,N
113,AFAR,Aura FAT Projects Acquisition Corp - Class A Ordinary Shares,G,N,D,100.0,N,N
114,AFARU,Aura FAT Projects Acquisition Corp - Unit,G,N,D,100.0,N,N
115,AFARW,Aura FAT Projects Acquisition Corp - Warrant,G,N,D,100.0,N,N
116,AFBI,"Affinity Bancshares, Inc. - Common Stock",S,N,N,100.0,N,N
117,AFCG,"AFC Gamma, Inc. - Common Stock",G,N,N,100.0,N,N
118,AFIB,"Acutus Medical, Inc. - Common Stock",S,N,D,100.0,N,N
119,AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",G,N,N,100.0,N,N
120,AFJKR,"Aimei Health Technology Co., Ltd - Right",G,N,N,100.0,N,N
121,AFJKU,"Aimei Health Technology Co., Ltd - Unit",G,N,N,100.0,N,N
122,AFMD,Affimed N.V. - Common Stock,S,N,N,100.0,N,N
123,AFRI,Forafric Global PLC - Ordinary Shares,S,N,N,100.0,N,N
124,AFRIW,Forafric Global PLC - Warrants,S,N,N,100.0,N,N
125,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
126,AFYA,Afya Limited - Class A Common Shares,Q,N,N,100.0,N,N
127,AGAE,Allied Gaming & Entertainment Inc. - Common Stock,S,N,N,100.0,N,N
128,AGBA,AGBA Group Holding Limited - Ordinary Share,S,N,D,100.0,N,N
129,AGBAW,AGBA Group Holding Limited - Warrant,S,N,N,100.0,N,N
130,AGEN,Agenus Inc. - Common Stock,S,N,D,100.0,N,N
131,AGFY,Agrify Corporation - Common Stock,S,N,D,100.0,N,N
132,AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
133,AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,S,N,N,100.0,N,N
134,AGNC,AGNC Investment Corp. - Common Stock,Q,N,N,100.0,N,N
135,AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",Q,N,N,100.0,N,N
136,AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Q,N,N,100.0,N,N
137,AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Q,N,N,100.0,N,N
138,AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",Q,N,N,100.0,N,N
139,AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,N,N,100.0,N,N
140,AGNG,Global X Aging Population ETF,G,N,N,100.0,Y,N
141,AGRI,AgriFORCE  Growing Systems Ltd. - Common Shares,S,N,D,100.0,N,N
142,AGRIW,AgriFORCE  Growing Systems Ltd. - Warrant,S,N,N,100.0,N,N
143,AGYS,"Agilysys, Inc. - Common Stock",Q,N,N,100.0,N,N
144,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,G,N,N,100.0,Y,N
145,AHCO,AdaptHealth Corp.  - Common Stock,S,N,N,100.0,N,N
146,AHG,Akso Health Group - American Depositary Shares,S,N,N,100.0,N,N
147,AHI,Advanced Health Intelligence Ltd. - American Depositary Shares,S,N,D,100.0,N,N
148,AIA,iShares Asia 50 ETF,G,N,N,100.0,Y,N
149,AIB,AIB Acquisition Corporation - Class A Ordinary Shares,G,N,D,100.0,N,N
150,AIBBR,AIB Acquisition Corporation - Right,G,N,D,100.0,N,N
151,AIBBU,AIB Acquisition Corporation - Unit,G,N,D,100.0,N,N
152,AIH,Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares,S,N,D,100.0,N,N
153,AIHS,Senmiao Technology Limited - Common Stock,S,N,N,100.0,N,N
154,AILE,"iLearningEngines Holdings, Inc. - Class A Common Stock",S,N,D,100.0,N,N
155,AILEW,"iLearningEngines Holdings, Inc. - Warrant",S,N,D,100.0,N,N
156,AIMAU,Aimfinity Investment Corp. I - Unit,G,N,N,100.0,N,N
157,AIMAW,Aimfinity Investment Corp. I - Warrant,G,N,N,100.0,N,N
158,AIMBU,Aimfinity Investment Corp. I - Subunit,G,N,N,100.0,N,N
159,AIMD,"Ainos, Inc. - Common Stock",S,N,N,100.0,N,N
160,AIMDW,"Ainos, Inc. - warrants",S,N,N,100.0,N,N
161,AIP,"Arteris, Inc.  - Common Stock",G,N,N,100.0,N,N
162,AIQ,Global X Artificial Intelligence & Technology ETF,G,N,N,100.0,Y,N
163,AIRE,reAlpha Tech Corp. - Common Stock,S,N,N,100.0,N,N
164,AIRG,"Airgain, Inc. - Common Stock",S,N,N,100.0,N,N
165,AIRJ,Montana Technologies Corp - Class A Common Stock,S,N,N,100.0,N,N
166,AIRJW,Montana Technologies Corp - Warrant,S,N,N,100.0,N,N
167,AIRL,Themes Airlines ETF,G,N,N,100.0,Y,N
168,AIRR,First Trust RBA American Industrial Renaissance ETF,G,N,N,100.0,Y,N
169,AIRS,"AirSculpt Technologies, Inc. - Common Stock",G,N,N,100.0,N,N
170,AIRT,"Air T, Inc. - Common Stock",S,N,N,100.0,N,N
171,AIRTP,"Air T, Inc. - Trust Preferred Securities",G,N,N,100.0,N,N
172,AISP,"Airship AI Holdings, Inc - Class A Common Stock",G,N,N,100.0,N,N
173,AISPW,"Airship AI Holdings, Inc - Warrants",S,N,N,100.0,N,N
174,AITR,AI TRANSPORTATION ACQUISITION CORP - Ordinary shares,S,N,N,100.0,N,N
175,AITRR,AI TRANSPORTATION ACQUISITION CORP - Right,S,N,N,100.0,N,N
176,AITRU,AI TRANSPORTATION ACQUISITION CORP - Unit,S,N,N,100.0,N,N
177,AIXI,XIAO-I Corporation - American Depositary Shares,G,N,N,100.0,N,N
178,AKAM,"Akamai Technologies, Inc. - Common Stock",Q,N,N,100.0,N,N
179,AKAN,Akanda Corp. - Common Shares,S,N,D,100.0,N,N
180,AKBA,"Akebia Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
181,AKLI,"Akili, Inc. - Common Stock",S,N,D,100.0,N,N
182,AKRO,"Akero Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
183,AKTS,"Akoustis Technologies, Inc. - Common Stock",S,N,D,100.0,N,N
184,AKTX,Akari Therapeutics Plc - American Depositary Shares,S,N,D,100.0,N,N
185,AKYA,"Akoya BioSciences, Inc. - Common Stock",Q,N,N,100.0,N,N
186,ALAB,"Astera Labs, Inc. - Common Stock",Q,N,N,100.0,N,N
187,ALAR,Alarum Technologies Ltd. - American Depositary Shares,S,N,N,100.0,N,N
188,ALBT,Avalon GloboCare Corp. - Common Stock,S,N,D,100.0,N,N
189,ALCE,"Alternus Clean Energy, Inc. - Class A Common Stock",S,N,D,100.0,N,N
190,ALCO,"Alico, Inc. - Common Stock",Q,N,N,100.0,N,N
191,ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares,G,N,N,100.0,N,N
192,ALCYU,Alchemy Investments Acquisition Corp 1 - Units,G,N,N,100.0,N,N
193,ALCYW,Alchemy Investments Acquisition Corp 1 - Warrants,G,N,N,100.0,N,N
194,ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
195,ALEC,"Alector, Inc. - Common Stock",Q,N,N,100.0,N,N
196,ALGM,"Allegro MicroSystems, Inc. - Common Stock",Q,N,N,100.0,N,N
197,ALGN,"Align Technology, Inc. - Common Stock",Q,N,N,100.0,N,N
198,ALGS,"Aligos Therapeutics, Inc. - Common stock",S,N,D,100.0,N,N
199,ALGT,Allegiant Travel Company - Common Stock,Q,N,N,100.0,N,N
200,ALHC,"Alignment Healthcare, Inc. - Common Stock",Q,N,N,100.0,N,N
201,ALIM,"Alimera Sciences, Inc. - Common Stock",G,N,N,100.0,N,N
202,ALKS,Alkermes plc - Ordinary Shares,Q,N,N,100.0,N,N
203,ALKT,"Alkami Technology, Inc. - Common Stock",Q,N,N,100.0,N,N
204,ALLK,Allakos Inc. - Common Stock,Q,N,N,100.0,N,N
205,ALLO,"Allogene Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
206,ALLR,"Allarity Therapeutics, Inc. - Common stock",S,N,D,100.0,N,N
207,ALLT,Allot Ltd. - Ordinary Shares,Q,N,N,100.0,N,N
208,ALNT,Allient Inc. - Common Stock,G,N,N,100.0,N,N
209,ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
210,ALOT,"AstroNova, Inc. - Common Stock",G,N,N,100.0,N,N
211,ALPN,"Alpine Immune Sciences, Inc. - Common Stock",G,N,N,100.0,N,N
212,ALPP,"Alpine 4 Holdings, Inc. - Class A Common Stock",S,N,H,100.0,N,N
213,ALRM,"Alarm.com Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N
214,ALRN,"Aileron Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
215,ALRS,Alerus Financial Corporation - Common Stock,S,N,N,100.0,N,N
216,ALSA,Alpha Star Acquisition Corporation - Ordinary Shares,G,N,N,100.0,N,N
217,ALSAR,Alpha Star Acquisition Corporation - Rights,G,N,N,100.0,N,N
218,ALSAU,Alpha Star Acquisition Corporation - Units,G,N,N,100.0,N,N
219,ALSAW,Alpha Star Acquisition Corporation - Warrants,G,N,N,100.0,N,N
220,ALT,"Altimmune, Inc. - Common Stock",G,N,N,100.0,N,N
221,ALTI,"AlTi Global, Inc. - Class A Common Stock",S,N,N,100.0,N,N
222,ALTO,"Alto Ingredients, Inc. - Common Stock",S,N,N,100.0,N,N
223,ALTR,Altair Engineering Inc. - Class A Common Stock,Q,N,N,100.0,N,N
224,ALTY,Global X Alternative Income ETF,G,N,N,100.0,Y,N
225,ALVO,Alvotech - Ordinary Shares,G,N,N,100.0,N,N
226,ALVOW,Alvotech - Warrant,G,N,N,100.0,N,N
227,ALVR,"AlloVir, Inc. - Common Stock",Q,N,D,100.0,N,N
228,ALXO,ALX Oncology Holdings Inc. - Common Stock,Q,N,N,100.0,N,N
229,ALZN,"Alzamend Neuro, Inc. - Common Stock",S,N,D,100.0,N,N
230,AMAL,Amalgamated Financial Corp. - Common Stock,G,N,N,100.0,N,N
231,AMAT,"Applied Materials, Inc. - Common Stock",Q,N,N,100.0,N,N
232,AMBA,"Ambarella, Inc. - Ordinary Shares",Q,N,N,100.0,N,N
233,AMCX,AMC Networks Inc. - Class A Common Stock,Q,N,N,100.0,N,N
234,AMD,"Advanced Micro Devices, Inc. - Common Stock",Q,N,N,100.0,N,N
235,AMDL,GraniteShares 2x Long AMD Daily ETF,G,N,N,100.0,Y,N
236,AMDS,GraniteShares 1x Short AMD Daily ETF,G,N,N,100.0,Y,N
237,AMED,Amedisys Inc - Common Stock,Q,N,N,100.0,N,N
238,AMGN,Amgen Inc. - Common Stock,Q,N,N,100.0,N,N
239,AMID,Argent Mid Cap ETF,G,N,N,100.0,Y,N
240,AMIX,"Autonomix Medical, Inc. - Common Stock",S,N,N,100.0,N,N
241,AMKR,"Amkor Technology, Inc. - Common Stock",Q,N,N,100.0,N,N
242,AMLI,American Lithium Corp. - Common Stock,S,N,D,100.0,N,N
243,AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
244,AMPG,"Amplitech Group, Inc. - Common Stock",S,N,N,100.0,N,N
245,AMPGW,"Amplitech Group, Inc. - Warrants",S,N,N,100.0,N,N
246,AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
247,AMPL,"Amplitude, Inc. - Class A Common Stock",S,N,N,100.0,N,N
248,AMRK,"A-Mark Precious Metals, Inc. - Common Stock",Q,N,N,100.0,N,N
